sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4976;pms5003;76;-1.261;36.782;2026-07-01T00:01:46+00:00;P2;10
4976;pms5003;76;-1.261;36.782;2026-07-01T00:01:46+00:00;P1;10
4976;pms5003;76;-1.261;36.782;2026-07-01T00:01:46+00:00;P0;6
4977;DHT22;76;-1.261;36.782;2026-07-01T00:01:48+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T00:01:48+00:00;temperature;16.1
4962;pms5003;76;-1.261;36.782;2026-07-01T00:02:00+00:00;P2;10
4962;pms5003;76;-1.261;36.782;2026-07-01T00:02:00+00:00;P1;11
4962;pms5003;76;-1.261;36.782;2026-07-01T00:02:00+00:00;P0;7
4963;DHT22;76;-1.261;36.782;2026-07-01T00:02:03+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:02:03+00:00;temperature;16.2
793;DHT22;3981;-1.269;36.819;2026-07-01T00:02:51.329012+00:00;humidity;99.90
793;DHT22;3981;-1.269;36.819;2026-07-01T00:02:51.329012+00:00;temperature;17.40
4976;pms5003;76;-1.261;36.782;2026-07-01T00:07:22+00:00;P2;16
4976;pms5003;76;-1.261;36.782;2026-07-01T00:07:22+00:00;P1;17
4976;pms5003;76;-1.261;36.782;2026-07-01T00:07:22+00:00;P0;6
4977;DHT22;76;-1.261;36.782;2026-07-01T00:07:24+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T00:07:24+00:00;temperature;15.9
4962;pms5003;76;-1.261;36.782;2026-07-01T00:07:37+00:00;P2;11
4962;pms5003;76;-1.261;36.782;2026-07-01T00:07:37+00:00;P1;13
4962;pms5003;76;-1.261;36.782;2026-07-01T00:07:37+00:00;P0;6
4963;DHT22;76;-1.261;36.782;2026-07-01T00:07:39+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:07:39+00:00;temperature;16.2
792;pms5003;3981;-1.269;36.819;2026-07-01T00:08:09.630899+00:00;P2;19.50
792;pms5003;3981;-1.269;36.819;2026-07-01T00:08:09.630899+00:00;P1;27.00
792;pms5003;3981;-1.269;36.819;2026-07-01T00:08:09.630899+00:00;P0;11.50
4976;pms5003;76;-1.261;36.782;2026-07-01T00:12:59+00:00;P2;10
4976;pms5003;76;-1.261;36.782;2026-07-01T00:12:59+00:00;P1;11
4976;pms5003;76;-1.261;36.782;2026-07-01T00:12:59+00:00;P0;4
4977;DHT22;76;-1.261;36.782;2026-07-01T00:13:01+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T00:13:01+00:00;temperature;15.8
4962;pms5003;76;-1.261;36.782;2026-07-01T00:13:13+00:00;P2;12
4962;pms5003;76;-1.261;36.782;2026-07-01T00:13:13+00:00;P1;16
4962;pms5003;76;-1.261;36.782;2026-07-01T00:13:13+00:00;P0;8
4963;DHT22;76;-1.261;36.782;2026-07-01T00:13:15+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:13:15+00:00;temperature;16.1
793;DHT22;3981;-1.269;36.819;2026-07-01T00:13:41.356730+00:00;humidity;99.90
793;DHT22;3981;-1.269;36.819;2026-07-01T00:13:41.356730+00:00;temperature;17.10
792;pms5003;3981;-1.269;36.819;2026-07-01T00:18:59.630567+00:00;P2;16.80
792;pms5003;3981;-1.269;36.819;2026-07-01T00:18:59.630567+00:00;P1;19.40
792;pms5003;3981;-1.269;36.819;2026-07-01T00:18:59.630567+00:00;P0;11.40
4976;pms5003;76;-1.261;36.782;2026-07-01T00:19:17+00:00;P2;10
4976;pms5003;76;-1.261;36.782;2026-07-01T00:19:17+00:00;P1;10
4976;pms5003;76;-1.261;36.782;2026-07-01T00:19:17+00:00;P0;6
4977;DHT22;76;-1.261;36.782;2026-07-01T00:19:20+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T00:19:20+00:00;temperature;15.8
793;DHT22;3981;-1.269;36.819;2026-07-01T00:19:20.063545+00:00;humidity;99.90
793;DHT22;3981;-1.269;36.819;2026-07-01T00:19:20.063545+00:00;temperature;17.10
4962;pms5003;76;-1.261;36.782;2026-07-01T00:19:24+00:00;P2;9
4962;pms5003;76;-1.261;36.782;2026-07-01T00:19:24+00:00;P1;10
4962;pms5003;76;-1.261;36.782;2026-07-01T00:19:24+00:00;P0;6
4963;DHT22;76;-1.261;36.782;2026-07-01T00:19:26+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:19:26+00:00;temperature;15.9
792;pms5003;3981;-1.269;36.819;2026-07-01T00:24:41.394803+00:00;P2;20.40
792;pms5003;3981;-1.269;36.819;2026-07-01T00:24:41.394803+00:00;P1;20.40
792;pms5003;3981;-1.269;36.819;2026-07-01T00:24:41.394803+00:00;P0;13.60
4976;pms5003;76;-1.261;36.782;2026-07-01T00:24:54+00:00;P2;12
4976;pms5003;76;-1.261;36.782;2026-07-01T00:24:54+00:00;P1;12
4976;pms5003;76;-1.261;36.782;2026-07-01T00:24:54+00:00;P0;6
4977;DHT22;76;-1.261;36.782;2026-07-01T00:24:56+00:00;humidity;99.9
4977;DHT22;76;-1.261;36.782;2026-07-01T00:24:56+00:00;temperature;16
793;DHT22;3981;-1.269;36.819;2026-07-01T00:24:58.893318+00:00;humidity;99.90
793;DHT22;3981;-1.269;36.819;2026-07-01T00:24:58.893318+00:00;temperature;17.40
4962;pms5003;76;-1.261;36.782;2026-07-01T00:25:00+00:00;P2;11
4962;pms5003;76;-1.261;36.782;2026-07-01T00:25:00+00:00;P1;14
4962;pms5003;76;-1.261;36.782;2026-07-01T00:25:00+00:00;P0;7
4963;DHT22;76;-1.261;36.782;2026-07-01T00:25:02+00:00;humidity;99.9
4963;DHT22;76;-1.261;36.782;2026-07-01T00:25:02+00:00;temperature;16
